Year,1,2,3,4,5,6,7,8,9,10,11,12,Yearly_Sum
1931,91.5,59.0,100.83,68.17,109.17,87.25,130.08,125.75,71.5,66.08,18.0,32.75,960.0800000000002
1932,48.25,8.25,69.33,51.83,119.08,106.92,163.17,74.67,53.25,90.25,37.83,14.33,837.1600000000001
1933,35.58,40.33,43.08,52.5,149.83,141.5,81.58,48.08,70.5,80.17,48.92,11.17,803.24
1934,51.42,11.83,59.17,15.33,25.17,130.75,115.25,137.0,109.58,67.0,24.83,51.33,798.6600000000002
1935,44.67,105.58,39.17,117.92,99.25,75.75,51.75,111.75,67.67,135.33,26.92,114.42,990.18
1936,97.25,59.75,36.17,104.5,42.42,129.92,162.75,74.33,159.92,49.75,51.58,41.25,1009.59
1937,52.0,106.42,85.0,93.75,61.25,109.67,71.75,82.58,108.25,33.33,44.83,35.75,884.5800000000002
1938,94.92,32.25,23.5,30.58,89.08,110.17,151.33,149.75,56.67,47.5,23.67,46.33,855.75
1939,52.33,20.42,102.08,47.25,203.0,96.75,116.42,92.92,120.33,178.0,79.92,65.08,1174.5
1940,40.83,55.5,72.08,47.0,144.42,108.42,140.5,107.75,199.58,53.33,108.33,60.08,1137.82
1941,79.17,48.33,46.83,70.75,105.08,104.67,86.92,143.83,21.0,77.08,32.08,32.92,848.6600000000001
1942,74.58,31.58,58.08,49.17,97.25,95.25,126.5,70.92,69.92,45.17,33.08,24.33,775.83
1943,61.5,33.83,38.08,49.5,46.67,113.83,66.33,23.25,92.75,0.0,67.67,22.42,615.8299999999999
1944,57.17,75.42,41.25,30.25,38.58,113.33,106.67,86.25,103.83,66.25,171.25,65.0,955.2500000000001
1945,53.75,46.83,65.58,57.5,69.67,69.17,65.17,145.92,114.17,34.42,39.5,73.33,835.01
1946,24.17,82.33,19.75,17.67,106.25,178.42,152.25,98.42,73.17,40.33,32.33,28.5,853.59
1947,47.75,41.0,98.92,23.25,56.25,72.67,62.75,22.42,31.08,16.58,114.42,89.42,676.51
1948,89.17,42.83,12.17,31.42,62.42,152.25,127.67,99.0,44.0,23.25,39.67,21.17,745.0199999999999
1949,39.25,13.25,37.67,80.83,99.33,32.58,30.08,52.17,56.58,18.17,41.5,71.25,572.66
1950,26.83,53.25,14.67,90.58,58.67,69.33,84.92,139.0,93.58,23.08,175.75,32.33,861.9900000000001
1951,67.83,66.58,78.17,39.25,50.08,120.08,111.92,116.75,60.0,37.83,63.0,42.0,853.49
1952,52.42,65.83,92.25,67.33,63.08,76.5,47.83,71.42,100.17,132.33,138.33,96.08,1003.57
1953,20.67,38.42,6.17,68.33,86.42,172.75,138.25,39.0,49.33,33.75,16.75,23.83,693.6700000000001
1954,66.17,45.58,17.92,69.5,70.08,101.08,126.67,156.25,134.58,51.17,36.58,74.0,949.58
1955,116.17,88.0,39.08,28.92,100.83,113.08,185.17,73.58,82.25,28.08,10.92,99.0,965.08
1956,79.42,17.17,28.5,67.08,89.08,76.08,155.25,151.5,43.25,105.42,41.42,19.25,873.4199999999998
1957,24.75,118.33,47.92,39.08,60.17,138.0,136.25,89.83,85.33,19.67,18.25,24.25,801.83
1958,75.17,122.75,27.0,72.42,75.67,98.25,96.83,89.92,48.75,90.67,44.75,69.0,911.18
1959,105.0,5.83,57.83,63.58,62.75,132.08,66.25,58.42,15.08,83.67,37.0,60.25,747.74
1960,56.75,64.92,42.92,47.75,86.25,119.83,105.67,131.42,66.25,89.5,67.0,43.42,921.68
1961,60.0,50.83,27.0,70.42,117.33,104.67,103.0,96.83,31.67,37.5,27.83,77.0,804.08
1962,106.58,46.17,69.92,43.42,105.42,42.17,58.42,72.0,51.5,9.0,20.58,77.5,702.6800000000002
1963,36.08,38.17,85.25,50.83,73.08,136.25,73.83,122.92,57.5,44.83,103.92,3.42,826.0799999999999
1964,13.92,35.33,102.92,65.17,135.92,66.17,36.5,99.75,54.42,71.08,72.33,23.75,777.2600000000001
1965,53.08,35.0,74.83,116.08,144.5,135.0,150.83,65.67,101.75,11.08,132.0,133.5,1153.3200000000002
1966,59.17,82.92,71.25,91.33,98.75,79.83,145.0,163.25,38.42,56.58,60.92,106.83,1054.25
1967,60.58,45.5,85.33,40.58,118.25,115.0,60.92,101.08,108.83,41.17,61.75,56.92,895.91
1968,109.0,59.92,46.75,74.92,81.0,74.25,85.25,151.75,183.25,34.33,17.33,39.17,956.9200000000001
1969,38.33,56.33,47.75,87.83,68.75,148.0,79.42,152.17,16.17,10.08,103.0,61.25,869.0799999999999
1970,64.17,159.75,54.08,128.0,90.92,82.33,73.5,133.33,41.33,42.92,71.25,31.08,972.6600000000001
1971,24.42,41.17,36.33,38.25,62.33,173.42,81.17,111.67,42.83,29.58,72.67,25.42,739.26
1972,21.5,8.75,20.33,97.17,64.42,105.33,97.5,61.5,25.33,34.58,198.42,19.92,754.7499999999999
1973,29.58,51.33,23.0,79.67,58.67,121.83,132.33,55.58,47.75,115.33,90.42,54.08,859.57
1974,47.42,61.08,34.25,34.5,90.92,108.08,92.17,79.75,85.67,137.58,96.0,84.83,952.2500000000001
1975,64.0,19.75,46.0,71.83,88.42,153.92,78.92,195.75,80.67,45.08,96.42,9.33,950.0899999999999
1976,46.92,27.33,16.42,59.17,80.25,45.25,173.83,49.0,91.17,36.92,50.58,83.33,760.1700000000001
1977,65.25,103.33,49.75,142.5,44.0,120.0,125.83,90.25,50.25,60.67,84.33,48.75,984.91
1978,57.17,94.0,100.58,45.42,150.08,104.42,87.92,144.33,52.83,73.0,15.42,81.0,1006.17
1979,89.5,77.42,88.33,93.42,52.42,113.33,55.5,98.42,104.17,43.92,112.42,83.0,1011.8499999999999
1980,87.92,54.17,54.58,83.83,71.33,135.25,122.25,63.08,35.5,101.83,36.83,43.83,890.4000000000001
1981,73.5,28.42,75.0,22.17,121.75,45.0,116.25,63.92,142.33,179.08,54.08,169.67,1091.17
1982,113.58,16.92,60.75,32.17,52.33,133.75,132.33,134.17,54.5,100.58,47.17,108.67,986.92
1983,62.33,50.75,54.33,105.67,135.58,66.75,24.33,86.25,98.58,31.08,56.58,39.0,811.2300000000001
1984,80.75,55.33,22.08,42.75,116.83,78.0,73.75,89.08,189.08,34.17,60.08,55.0,896.9
1985,73.75,49.58,40.92,102.25,127.17,92.17,40.58,95.17,35.67,10.75,100.08,40.92,809.01
1986,111.92,38.83,51.92,149.83,133.17,104.58,114.17,142.75,25.08,69.5,38.42,64.83,1045.0
1987,42.58,58.92,56.67,59.17,137.17,157.67,110.92,65.67,118.17,37.92,63.33,48.25,956.4399999999998
1988,56.5,73.25,154.25,45.67,70.08,103.5,92.25,110.83,74.92,81.08,45.08,100.17,1007.58
1989,10.33,48.92,40.25,128.67,37.08,69.08,144.17,79.92,42.5,69.83,37.75,63.17,771.67
1990,32.25,107.92,48.25,66.92,63.75,162.5,61.33,60.08,101.0,83.92,97.58,54.33,939.8300000000002
1991,45.33,21.5,46.25,42.33,106.17,167.83,79.75,17.5,73.42,25.67,88.83,49.75,764.3299999999999
1992,11.75,53.42,75.75,86.33,24.33,106.08,95.75,71.33,41.5,123.92,137.25,75.17,902.5799999999999
1993,31.17,18.67,29.17,46.42,68.08,108.25,182.5,92.67,72.33,90.08,33.67,97.67,870.68
1994,80.08,41.67,60.42,99.75,157.5,71.5,99.0,111.92,104.25,52.33,36.33,85.5,1000.2500000000001
1995,101.75,73.33,87.08,60.17,164.5,128.83,71.0,125.08,67.75,7.75,86.58,111.42,1085.24
1996,6.0,41.83,39.75,28.25,86.25,76.83,110.08,140.42,45.0,78.08,99.58,67.0,819.07
1997,5.33,71.25,30.67,54.25,37.25,138.83,118.17,52.92,34.5,61.92,19.42,109.33,733.84
1998,70.42,25.58,57.83,68.75,37.17,85.0,77.25,58.25,131.83,120.42,90.75,30.33,853.58
1999,48.67,102.83,50.75,98.75,186.75,133.0,91.0,88.75,77.0,46.5,78.58,120.08,1122.66
2000,23.92,90.75,71.92,47.75,96.08,58.83,164.08,105.08,92.33,49.83,77.0,24.5,902.0700000000002
2001,91.83,33.58,188.75,95.58,77.33,133.25,72.67,79.08,131.42,67.33,81.17,41.08,1093.07
2002,13.92,74.58,54.92,58.0,126.5,84.75,98.0,116.25,122.33,112.58,132.33,60.5,1054.6600000000003
2003,62.92,28.17,27.08,38.58,79.83,49.25,88.83,52.67,30.92,118.83,50.42,29.83,657.33
2004,128.92,32.42,43.58,36.83,91.83,80.0,97.17,72.75,48.83,101.17,19.92,57.83,811.25
2005,35.42,45.83,51.92,96.17,92.5,68.58,100.92,128.83,69.25,69.75,26.5,53.75,839.4200000000001
2006,16.67,41.33,130.92,138.42,113.25,38.92,54.42,159.5,108.0,46.92,29.25,53.08,930.68
2007,43.83,66.92,66.25,7.5,139.08,104.5,137.83,163.42,60.17,9.33,46.33,70.83,915.9900000000001
2008,57.92,27.08,63.75,122.83,33.33,71.42,111.5,98.75,75.67,83.58,29.0,65.0,839.8299999999999
2009,31.67,48.5,83.25,16.67,87.92,104.33,146.58,45.17,33.92,49.0,80.0,106.08,833.09
2010,41.0,44.67,39.67,24.08,125.0,91.17,129.5,143.33,64.67,49.08,57.67,137.5,947.34
2011,53.42,26.5,36.17,22.17,73.58,95.92,130.5,64.92,82.83,53.5,0.75,149.17,789.43
2012,88.0,20.17,19.92,76.08,67.17,136.0,78.58,145.08,77.92,95.83,104.0,119.42,1028.17
2013,51.75,72.25,63.0,76.5,132.92,113.83,56.67,66.25,93.33,95.58,83.83,32.83,938.7400000000001
2014,56.0,49.75,30.33,57.0,61.75,75.25,188.08,112.33,54.75,60.0,60.25,56.25,861.74
2015,83.75,29.33,53.33,96.58,129.75,109.58,36.5,67.75,35.75,44.08,70.08,20.58,777.0600000000001
2016,144.0,90.67,32.08,100.5,154.08,153.42,97.17,62.58,48.75,48.25,70.08,1.42,1003.0
2017,47.58,50.0,49.08,100.5,79.83,82.67,114.75,109.25,75.17,42.17,84.5,89.0,924.5
2018,108.92,41.92,44.33,13.25,84.83,62.08,44.75,69.17,64.75,38.25,13.08,94.92,680.25
2019,55.67,35.5,51.5,43.5,140.0,68.0,99.58,117.67,64.33,101.58,43.58,48.25,869.1600000000001
2020,28.33,110.08,53.5,24.75,63.17,115.33,49.08,150.5,41.25,85.58,21.75,60.92,804.24
